UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Sya,@agakbete,2024-02-08T15:04:23.000Z,"Pemilu 2024 bener2 ngebuka mata gue soal politik. Yang awalnya, ""nih caleg kebanyakan orang kaya yak.""

Tapi tahun ini gue ngeliat sekilas kalo ada PRT dari Partai Buruh yang nyalonin diri buat menyuarakan hak2 ART, bahkan pak Sappe yang menangis di depan pak Anies.....",1,,
Riversidez™,@Bimo_P124Y1770,2024-02-08T15:03:45.000Z,terus mendukung upaya Presiden AS Joe Biden untuk pemilu presiden tahun 2024 meskipun ia mendukung Israel.,,,
MqZaYyaN,@LaluHadil,2024-02-08T15:01:53.000Z,",,beneran mau disangkal..??inget kata ketua Projo,kalau sampai kalah di pemilu 2024,bakal masuk penjara semua..makanya semua dilanggar demi TDK masuk KPK..",1,,
Alrabbani syam,@Arsylaa2,2024-02-08T14:56:58.000Z,Tanpa jokowi juga gk bakalan PDI-P jadi pemenang pemilu 2periode itu fakta yang tidak bisa dibantah ,,,
,@helmihelmihelmi,2024-02-08T14:52:39.000Z,Seru bgt pemilu 2024,,,
rinirahmanian,@rinirahmanian,2024-02-08T14:49:54.000Z,Hayuk kita sama2 pilih pak ganjar di pemilu 2024 biar auto menang yash,,,
SMBS_Rio,@SMBS_rio,2024-02-08T14:48:28.000Z,Kayaknya bakal menggeliat lagi dari tgl.14 Februari 2024. Beres nyoblos pada nobar kayaknya. Ntah mau Palentinan atau cari yg seger2 dari urusan pemilu.,1,,1
Tiffany Baker,@TiffanyBak78254,2024-02-08T14:47:07.000Z,"Bangun Persatuan Bangsa dalam Pemilu 2024, jangan biarkan terpecah karena berbeda pilihan.",,,
wahyu fitriana,@pippiaand,2024-02-08T14:47:05.000Z,Yes bener banget..aku aja juga merasa ikut pinter di pemilu 2024 ini. Isinya penjelasan dan gagasan pa Anies masuk akal dan daging semua... menginspirasi orang untuk berbuat kebaikan di manapun dan untuk siapapun,,,
Undang Sarifudin,@SarifudinUndang,2024-02-08T14:41:04.000Z,"Iya setuju hemat anggaran jika pemilu satu putaran, namun pemilu 2024 harus alamiah bersih dari kecurangan, jurdil, dan luber.. udah gt ajah.",,,
Bawaslu Wonogiri,@BawasluWonogiri,2024-02-08T14:39:39.000Z,"Selamat Memperingati Isra Miraj Nabi Muhammad S.A.W, Semoga Allah S.W.T senantiasa memberikan hidayah kepada kita semua, serta memberikan kedamaian dan perdamaian kepada Bangsa Indonesia jelang Pesta Demokrasi Pemilu 2024.

#bawasluwonogiri
#AyoAwasiBersama
#PemiluSerentak2024",,,
Heru Soemadji,@HeruSoemadji,2024-02-08T14:29:10.000Z,"Gas Poll..
AMIN Menang di Pemilu Presiden 2024..
@aniesbaswedan
 
@cakimiNOW
 

#KumpulAkbarJIS01 
#Ber1BeraniBerubah",,,
pemantau_pemilu2024,@m_wildan78,2024-02-08T14:29:00.000Z,"Bisa jg undang mba puan cak,, spesialis matiin ....? Hhh",,,
Heru Soemadji,@HeruSoemadji,2024-02-08T14:28:53.000Z,"Gas Poll..
AMIN Menang di Pemilu Presiden 2024..
@aniesbaswedan
 
@cakimiNOW
 

#KumpulAkbarJIS01 
#Ber1BeraniBerubah",,,
Heru Soemadji,@HeruSoemadji,2024-02-08T14:27:57.000Z,"Gas Poll..
AMIN Menang di Pemilu Presiden 2024..
@aniesbaswedan
 
@cakimiNOW
 

#KumpulAkbarJIS01 
#Ber1BeraniBerubah",,,
samber nyowo,@edgar_adhi63924,2024-02-08T14:20:46.000Z,"Kalo paham kejadiannya dijelasin dong pak ... Jgn anda sendiri yg paham dan diam saja. Kami semua penuh pertanyaan... Bagi saya Rocky Gerung, seseorang yg cerdas..  ada apa di balik semua ini? Pemilu 2024 penuh misteri ...",,,
Raden Wibisana,@wibisono504,2024-02-08T14:17:38.000Z,"Apakah ini masih berlaku untuk pemilu 2024 CC 
@KhofifahIP
 
Kalau tidak berlaku ...berarti mulutmu mencla mencle..",,,3
XGein,@XGeiin,2024-02-08T14:15:06.000Z,"Kalau ga ada Capres dan Cawapres yang bisa benerin Kominfo dan Bea Cukai
Aku tim golongan putih deh.
#Pemilu2024BebasHoaks #Pemilu2024 #PemiluDamai2024 #Pemilu2024MenujuIndonesiaMaju #PemiluDamaiNegeriMaju",,,
#Kisihati Heru Lelono,@her_alone,2024-02-08T14:14:10.000Z,"Siapapun yg menang Pilpres dan menjadi pemimpin pemerintah Indonesia paska Pemilu 2024, semoga bisa memimpin jauh lebih baik dari 10 th terakhir.

Tugas berat selain pembenahan ekonomi masy menengah kebawah, adalah merajut kembali ikatan sosial masy yg banyak retak.

#NilaiMerah",,,2
PRESIDEN SPANYOL,@Minang_cyber,2024-02-08T14:13:34.000Z,"Gua mau follow akun pemilih amin di pemilu 2024 dgn syarat
1.akun nya 2017 ke bawah 
Yg follower nya di bawah 1000
2, mau menerima akun kami apa ada nya. ",23,10,48
pemantau_pemilu2024,@m_wildan78,2024-02-08T14:12:48.000Z,Otaknya ngga nyampe bang,,,
Gmoy7782,@Harlya5677,2024-02-08T14:11:02.000Z,"Sudahlah kaga usah rame rame
Lebih baik aspirasi anda tuangkan le pemilu tgl 14-02-2024
Pilih yang sesuai hati nurani masing-masing
Top aman sentosa Indonesia Jaya",,,
Suryana Nana,@Suryana02284596,2024-02-08T14:10:19.000Z,"Semoga pak GanjarMahfud bisa membawa Indonesia sejahtera dan rakyatnya aman dan damai di pemilu 2024 tgl 14,pilihan dari hati nurani ",,,
JackCrypto,@JackCrypto2024,2024-02-08T14:06:59.000Z,Pemilu akan damai kalau pemerintah netral...ini gimana mau damai wong si joko sudah bilang mau cawe2,,,
Arif santoso,@Arifsantos83763,2024-02-08T14:05:41.000Z,"intinya siapapun pilihannya, pemilu 2024 harus berjalan dengan lancar, jujur, adil dan damai santun",,,
kiki saputra,@kikisaputr41774,2024-02-08T14:01:55.000Z,Bismillah semoga di pemilu tahun 2024 ini lancar bisa menangkan pasangan Pak Ganjar-mahfud,,,
𝐃𝐢𝐬𝐝𝐮𝐤𝐜𝐚𝐩𝐢𝐥 𝐊𝐚𝐛 𝐒𝐮𝐤𝐨𝐡𝐚𝐫𝐣𝐨,@disdukcapilskh,2024-02-08T13:57:55.000Z,"Dukcapil Kecamatan dalam rangka mendukung pemilu 2024.

Diharapkan dengan adanya rapat koordinasi ini, Dinas Dukcapil khususnya di Provinsi Jawa Tengah semakin baik dalam memberikan pelayanan kepada masyarakat terutama dalam rangka mendukung pemilu 2024.

#pemilu2024",,,
𝐃𝐢𝐬𝐝𝐮𝐤𝐜𝐚𝐩𝐢𝐥 𝐊𝐚𝐛 𝐒𝐮𝐤𝐨𝐡𝐚𝐫𝐣𝐨,@disdukcapilskh,2024-02-08T13:57:35.000Z,"surat keterangan dan biodata untuk keperluan pemilu 2024;

3. Pelayanan di Dinas Dukcapil tidak ada diskriminasi dan netral terhadap seluruh pasangam capres dan cawapres;

4. Kebijakan pelayanan pada hari libur dan tanggal 14 Februari 2024 dilaksanakan di Dinas dan UPTD",1,,
