UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Scofro 90,@Scofro985126,2024-02-16T22:51:13.000Z,MARI KITA JAGA PEMILU DAMAI 2024,,,
Si Epen,@jank_epp,2024-02-16T22:51:00.000Z,"Tanggal : 17 Feb 2024
Jam : 05:50

DKI Jakarta, Jakarta Selatan, Cilandak, Pondok Labu. Untuk TPS 09 dan 27 terdapat lenggelembungan suara untuk paslon 02

#Pemilu2024 
#KawalPemilu2024 
#PemiluCurang ",,,
Anak pelosok,@Anak_Pelosok58,2024-02-16T22:50:59.000Z,"Semoga nantinya ada aturan2 yg lebih baik spy para penyelenggara pemilu tetap sehat2 saja selama menjalankan tugasnya,Amin.

Pemilu riang gembira tapi banyak air mata.

Update Pemilu 2024, KPU: 35 KPPS Meninggal Dunia, 3.909 Orang Sakit https://beritasatu.com/bersatu-kawal-pemilu/2800123/update-pemilu-2024-kpu-35-kpps-meninggal-dunia-3909-orang-sakit… lewat 
@beritasatu",,,1
Rahmat indoVWT,@corazon_rahmad,2024-02-16T22:50:43.000Z,"Berapa kira-kira anggaran negara yg di keluarkan untuk pemilu 2024, berapa yg ke pake ",,,
Mamong Fanang,@hmfnng,2024-02-16T22:50:33.000Z,#pilpres #Pemilu2024 #pemiluserentaktahun2024,,,
N Maulana,@akangnna,2024-02-16T22:49:44.000Z,"pemilu 2024 bagian 5

Real Count | Indonesia Mengajar | Dp 0 | Abah | Gemoy | Samsul | Anies | Cak Imin | Ganjar | Mahfud

the kontestan
@aniesbaswedan
 @cakimiNOW
 @prabowo
 @gibran_tweet
 @ganjarpranowo
 @mohmahfudmd",,,1
