UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
bedakpoh_atjie,@bedakpoh_atjie,2024-02-09T15:25:06.000Z,"Apakah anda setuju kelak gubernur ditunjuk presiden? Dan presiden dipilih oleh MPR
#Pemilu2024 #AniesMuhaimin2024 #GanjarMahfud2024 #GanjarPranowo #aniesbaswedan #muhaiminiskandar #mahfudzMD #PrabowoGibran #pestademokrasi #Pemilu",,,
hi,@niscalaretha_,2024-02-09T15:17:38.000Z,"Jaga integritasmu, Kaum Muda.
Bayaran 50-100K dan makan siang saat ini adalah harga yang tak sebanding dengan 5 tahun kedepan.
#Pemilu2024 #BijakMemilih",,,
AQUAABOYY,@aquaboyy14,2024-02-09T15:01:06.000Z,"Respect dan hormat kepada semua guru besar atas pencapaian akademik nya, Tapi yg saya heran kenapa anda lebih tertarik menyuarakan isu dinasti politik,ketimbang tragedi meninggal nya Petugas² KPPS Pemilu sebelumnya? Miris sekali
#Pemilu2024 #Indonesia #PrabowoGibran #GanjarMahfud",,,
ly𒄬,@MADAMYEONJUN,2024-02-09T14:58:50.000Z,Rela ketinggalan konten txt demi pemilu 2024 alias stelah gali informasi sana sini akhirnya isi tl penuh sama capres cawapres,,,
Wilson Therik,@wilsontherik,2024-02-09T14:51:32.000Z,"Penghitungan dan Rekapitulasi Jumlah Suara Hasil Pilpres dan Pileg 2024 di Luar Negeri itu baru dilakukan pada tanggal 14 Februari 2024. Baca jadwal pemilu di website KPU 
@KPU_ID
 biar tidak gagal paham karena banyak yang suka menyebar hoax guna mempengaruhi opini publik.",,1,1
Frits Ramandey,@RamandeyFrits,2024-02-09T14:50:21.000Z,Menyandang gelar cendekiawaan tapi tidak percaya pada proses demokrasi melalui pemilu 14 Februari 2024. Metro TV tolong memili narsum yg bisa menggusung kewarasan publik jangan sebaliknya,,,
missloeb,@missloebb,2024-02-09T14:36:09.000Z,Pemilu 2024 satu putaran... Prabowo-Gibran sontoloyo kalah!!! AAMIIN!!!!!!! #manifestasi,,,
Lapas_IIA_Bogor,@2aBogor,2024-02-09T14:06:10.000Z,"Selamat Hari Pers #SobatElpale :)

#KemenkumhamRI #KemenkumhamJabar #RAndikaDwiPrasetya #DitjenPas #Pemasyarakatan #Jabar #Bogor #fyp #LapasBogorPastiWBBM #Indonesia #Viral #Pemilu2024 #GunakanHakSuara #JanganLupaCoblos",3,1,1
ini akun nyambat,@Itshun02,2024-02-09T14:01:25.000Z,"Semangat gais bentar lagi pemilu, inget coblos yang terbaik menurut kalian oke 
#Pemilu2024",2,,
ѕιмση єƒяє∂ιяє,@SimonEfredire_,2024-02-09T13:54:39.000Z,Seandainya pemilihan presiden sekarang ini siapa pilihanmu? #capres #Pemilu2024 #gibranrakabuming #PrabowoGibran #anisimin #GanjarMahfud #GanjarPranowo,2,,1
